frame_index,time_sec,frequency_hz,voiced
0,0.000000,0.000000,False
1,0.011610,0.000000,False
2,0.023220,0.000000,False
3,0.034830,0.000000,False
4,0.046440,0.000000,False
5,0.058050,0.000000,False
6,0.069660,0.000000,False
7,0.081270,0.000000,False
8,0.092880,0.000000,False
9,0.104490,0.000000,False
10,0.116100,0.000000,False
11,0.127710,0.000000,False
12,0.139320,0.000000,False
13,0.150930,0.000000,False
14,0.162540,0.000000,False
15,0.174150,0.000000,False
16,0.185760,0.000000,False
17,0.197370,0.000000,False
18,0.208980,0.000000,False
19,0.220590,0.000000,False
20,0.232200,0.000000,False
21,0.243810,0.000000,False
22,0.255420,0.000000,False
23,0.267029,0.000000,False
24,0.278639,0.000000,False
25,0.290249,0.000000,False
26,0.301859,0.000000,False
27,0.313469,0.000000,False
28,0.325079,0.000000,False
29,0.336689,0.000000,False
30,0.348299,0.000000,False
31,0.359909,0.000000,False
32,0.371519,0.000000,False
33,0.383129,0.000000,False
34,0.394739,0.000000,False
35,0.406349,0.000000,False
36,0.417959,0.000000,False
37,0.429569,0.000000,False
38,0.441179,0.000000,False
39,0.452789,0.000000,False
40,0.464399,0.000000,False
41,0.476009,0.000000,False
42,0.487619,0.000000,False
43,0.499229,0.000000,False
44,0.510839,0.000000,False
45,0.522449,0.000000,False
46,0.534059,0.000000,False
47,0.545669,730.932697,True
48,0.557279,718.375711,True
49,0.568889,685.935016,True
50,0.580499,678.056380,True
51,0.592109,670.268239,True
52,0.603719,666.407778,True
53,0.615329,662.569551,True
54,0.626939,662.569551,True
55,0.638549,662.569551,True
56,0.650159,662.569551,True
57,0.661769,662.569551,True
58,0.673379,662.569551,True
59,0.684989,662.569551,True
60,0.696599,662.569551,True
61,0.708209,662.569551,True
62,0.719819,662.569551,True
63,0.731429,662.569551,True
64,0.743039,662.569551,True
65,0.754649,662.569551,True
66,0.766259,662.569551,True
67,0.777868,662.569551,True
68,0.789478,662.569551,True
69,0.801088,662.569551,True
70,0.812698,666.407778,True
71,0.824308,666.407778,True
72,0.835918,666.407778,True
73,0.847528,666.407778,True
74,0.859138,662.569551,True
75,0.870748,662.569551,True
76,0.882358,662.569551,True
77,0.893968,662.569551,True
78,0.905578,662.569551,True
79,0.917188,662.569551,True
80,0.928798,0.000000,False
81,0.940408,0.000000,False
82,0.952018,499.241745,True
83,0.963628,499.241745,True
84,0.975238,496.366324,True
85,0.986848,496.366324,True
86,0.998458,496.366324,True
87,1.010068,496.366324,True
88,1.021678,496.366324,True
89,1.033288,496.366324,True
90,1.044898,496.366324,True
91,1.056508,496.366324,True
92,1.068118,496.366324,True
93,1.079728,496.366324,True
94,1.091338,496.366324,True
95,1.102948,496.366324,True
96,1.114558,496.366324,True
97,1.126168,496.366324,True
98,1.137778,496.366324,True
99,1.149388,496.366324,True
100,1.160998,496.366324,True
101,1.172608,496.366324,True
102,1.184218,496.366324,True
103,1.195828,496.366324,True
104,1.207438,496.366324,True
105,1.219048,496.366324,True
106,1.230658,496.366324,True
107,1.242268,496.366324,True
108,1.253878,496.366324,True
109,1.265488,496.366324,True
110,1.277098,496.366324,True
111,1.288707,0.000000,False
112,1.300317,662.569551,True
