time_sec,chord_symbol,confidence
34.365533,D,0.120960
34.458413,Bm,0.129452
34.783492,D,0.125908
34.829932,G,0.125140
35.027302,Bm,0.194432
35.143401,D,0.130305
35.271111,F#m,0.151798
35.305941,D,0.125801
35.317551,E,0.116748
35.398821,Em,0.136062
35.503311,A,0.140651
35.700680,E,0.190863
35.793560,Em,0.209095
35.828390,E,0.206019
35.840000,Em,0.203856
35.851610,E,0.204043
35.874830,Em,0.205099
36.223129,B,0.182882
36.443719,Bm,0.232915
36.617868,Em,0.146056
36.942948,C,0.168957
36.966168,Em,0.166304
37.372517,F#m,0.132527
37.395737,F#,0.164072
37.453787,F#m,0.168221
37.477007,F#,0.166099
37.500227,F#m,0.163975
37.546667,F#,0.166036
37.616327,D#m,0.154086
37.651156,C,0.110410
37.674376,D#,0.107005
37.685986,Em,0.099445
37.697596,Cm,0.098299
37.720816,Em,0.128298
37.755646,C,0.184761
37.894966,Cm,0.170172
37.906576,C,0.176394
38.463855,Am,0.134060
38.591565,F,0.138620
38.603175,D#,0.139759
38.614785,Gm,0.133546
38.626395,Em,0.139624
38.661224,B,0.200125
38.684444,Em,0.207711
38.777324,C,0.112505
38.812154,Cm,0.104584
38.823764,G#,0.099864
38.835374,Gm,0.098456
38.846984,D,0.117023
39.613243,C#m,0.097722
39.624853,Dm,0.106261
39.648073,D,0.119795
39.833832,Dm,0.184375
39.857052,D,0.188568
39.915102,Dm,0.123807
39.938322,A#,0.103812
39.961542,G,0.104688
39.984762,Em,0.118655
40.042812,G,0.134223
40.089252,Dm,0.155618
40.100862,D,0.162748
40.124082,G,0.159169
40.182132,Em,0.130221
40.344671,A,0.113638
40.367891,G,0.114426
40.402721,D,0.157214
40.495601,Gm,0.135317
40.507211,D#,0.122288
40.530431,Em,0.135521
40.542041,E,0.164414
40.565261,Em,0.216924
40.588481,E,0.221349
40.646531,Em,0.200500
40.658141,E,0.181945
40.669751,Em,0.149800
40.681361,B,0.120613
40.716190,G,0.137818
40.739410,Bm,0.153310
40.751020,G,0.145598
40.774240,C#m,0.136947
40.843900,Em,0.117061
41.018050,C#m,0.129025
41.064490,A,0.109249
41.087710,Em,0.099717
41.134150,E,0.122780
41.192200,B,0.165454
41.203810,Bm,0.170246
41.227029,E,0.174015
41.238639,Bm,0.176174
41.250249,E,0.168604
41.261859,G,0.164770
41.273469,E,0.153884
41.331519,Em,0.123932
41.389569,G,0.109607
41.412789,Bm,0.109669
41.447619,Em,0.116232
41.459229,B,0.115715
41.470839,G,0.123300
41.528889,Em,0.113272
41.621769,G,0.114303
41.633379,C#m,0.111197
41.703039,A,0.111673
41.726259,C#m,0.111837
41.830748,A,0.101666
41.842358,G#,0.102080
42.074558,G#m,0.095068
42.132608,D#m,0.093939
42.237098,Cm,0.095310
42.399637,D#m,0.106844
42.422857,Cm,0.108066
42.480907,C,0.118465
43.386485,G,0.155933
43.607075,Em,0.171970
43.630295,G,0.160667
43.641905,B,0.157968
43.734785,G#m,0.123456
43.816054,B,0.175723
43.897324,G,0.147617
44.071474,G#m,0.118926
44.094694,D,0.106148
44.222404,Bm,0.102160
44.268844,G,0.111197
44.431383,Em,0.106526
44.466213,E,0.097071
44.489433,Am,0.095689
44.582313,E,0.103204
44.826122,Em,0.130382
44.837732,E,0.129471
44.872562,Em,0.131075
44.884172,Am,0.139619
44.942222,Em,0.143359
44.977052,Am,0.145356
45.000272,Em,0.132636
45.011882,A,0.135958
45.023492,Em,0.133984
45.046712,Bm,0.147861
45.139592,G,0.160947
45.174422,Em,0.144391
45.453061,A,0.147641
45.569161,Dm,0.121902
45.615601,D,0.141965
46.138050,G,0.176035
46.347029,D,0.161199
46.428299,Bm,0.151440
46.497959,Dm,0.104123
46.521179,G,0.100399
46.532789,Em,0.108999
46.672109,B,0.091728
46.718549,Em,0.094490
46.764989,E,0.102746
46.788209,Em,0.099014
46.799819,D#m,0.098697
46.823039,C,0.099954
47.148118,Am,0.137693
47.275828,C,0.137994
47.310658,Em,0.148124
47.415147,C,0.126701
47.821497,D#,0.095820
47.833107,Em,0.094861
47.844717,G#m,0.094573
47.856327,B,0.100945
48.204626,G#m,0.155970
48.251066,B,0.137959
48.355556,Bm,0.144969
48.425215,B,0.180287
48.494875,Bm,0.143692
48.634195,E,0.112892
48.773515,B,0.110859
48.808345,Bm,0.117104
49.110204,E,0.099399
49.237914,C#m,0.107084
49.307574,A,0.111461
49.330794,E,0.114325
49.365624,Em,0.121431
49.621043,E,0.162775
49.644263,Em,0.160304
50.027392,G,0.129967
50.073832,Dm,0.101196
50.120272,G,0.113923
50.189932,D,0.143040
50.201542,G,0.148358
50.213152,D,0.152542
50.259592,G,0.171736
50.317642,Bm,0.179638
50.468571,G,0.158560
50.480181,Bm,0.155178
50.944580,A,0.115620
50.979410,Bm,0.100359
51.165170,A#,0.096130
51.188390,D#m,0.094207
51.211610,G#,0.095404
51.246440,C,0.095223
51.339320,Cm,0.100634
51.420590,C,0.103346
52.163628,G,0.133130
52.337778,Em,0.101754
52.360998,E,0.114615
52.384218,Em,0.116845
52.407438,Bm,0.116217
52.488707,G,0.170663
52.744127,B,0.184852
53.069206,G,0.113799
53.371066,Em,0.101119
53.417506,Bm,0.099535
53.533605,Em,0.098631
53.556825,Bm,0.098656
53.591655,E,0.098866
53.626485,A,0.100722
53.754195,C#m,0.115579
53.765805,E,0.116050
53.835465,Em,0.112959
53.847075,E,0.111724
53.858685,Bm,0.118044
53.951565,Em,0.127563
53.986395,E,0.168159
53.998005,Em,0.181180
54.195374,G,0.149160
54.427574,Em,0.166628
54.532063,G,0.139767
54.601723,Em,0.116018
54.648163,G,0.127779
54.752653,Dm,0.153469
54.764263,G,0.155966
54.822313,Bm,0.176349
54.961633,G,0.177555
54.973243,Bm,0.176819
55.042902,G,0.192720
55.054512,Bm,0.195823
55.066122,G,0.198939
55.321542,Em,0.153884
55.414422,G,0.186127
55.739501,D,0.123296
55.762721,Dm,0.138243
55.785941,D,0.147755
55.797551,Dm,0.153216
55.820771,Am,0.171224
55.867211,Gm,0.134221
55.971701,G,0.157998
56.029751,Em,0.206440
56.470930,G,0.132496
56.772789,A,0.139463
56.784399,A#m,0.133010
56.807619,Am,0.115969
56.842449,A,0.184740
56.854059,D,0.187386
57.330068,Bm,0.144472
57.353288,G,0.153205
57.376508,D,0.144549
57.422948,Bm,0.131764
57.434558,D,0.133642
57.539048,G,0.120214
57.562268,D,0.116233
57.608707,G,0.109274
57.771247,Bm,0.137816
57.829297,F#m,0.195089
57.840907,F#,0.205827
57.864127,F#m,0.218580
57.991837,D,0.169650
58.003447,Bm,0.161745
58.038277,Em,0.137844
58.340136,C#m,0.124519
58.374966,Em,0.120479
58.398186,Bm,0.120724
58.444626,F#,0.168446
58.456236,F#m,0.170308
58.467846,F#,0.177926
58.502676,Bm,0.175483
58.665215,Em,0.114373
58.688435,C#m,0.102694
58.723265,D,0.104572
58.734875,Gm,0.119674
58.746485,D,0.133476
59.059955,A#,0.103535
59.071565,D,0.102829
59.083175,D#m,0.117943
59.129615,D,0.140285
59.164444,A,0.111855
59.187664,Am,0.133265
59.199274,Em,0.142010
59.268934,D,0.116171
